timestamp,link,Lookup_ID,Version,Content Category: Gift Announcement,Interest Area: Giving Blueday,Interest Area: Student Support,Interest Area: History,Interest Area: Diversity Equity and Inclusion,Interest Area: Poverty,Interest Area: Sustainability,Interest Area: Environment,Interest Area: City of Detroit,Interest Area: Health and Wellness,Interest Area: Public Good,Interest Area: Facilities,Interest Area: Arts,Interest Area: Education,Interest Area: Science,Interest Area: Military and Veterans,Interest Area: International,Interest Area: Aging,S/C/U: Gerald R. Ford School of Public Policy,S/C/U: Rackham Graduate School,S/C/U: Bentley Historical Library,S/C/U: Student Life,"S/C/U: College of Literature, Science, and the Arts",S/C/U: Student Publications,S/C/U: Institute for Social Research,S/C/U: Stephen M. Ross School of Business,S/C/U: School for Environment and Sustainability,S/C/U: Michigan Medicine,S/C/U: School of Dentistry,S/C/U: University of Michigan Museum of Art,S/C/U: School of Education,S/C/U: Athletics,S/C/U: Detroit Observatory
3/25/2022 14:43,Learn about the center,3359,Major Giving,Gift Announcement,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,School of Education,,
1/31/2022 23:56,Read about the Bentley gift,6440,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
2/7/2022 19:36,Learn about the Weill gift,6440,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 10:40,Meet the graduates,45950,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2022 12:23,Learn about the Weill gift,47341,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 9:15,Experience the observatory,59493,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 10:45,Learn about the Weill gift,70491,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
3/25/2022 11:20,Learn about the collection,90347,Major Giving,Gift Announcement,,,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,University of Michigan Museum of Art,,,
5/12/2022 8:59,Experience the observatory,100377,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
3/27/2022 10:29,Read about the Culture Corps,105363,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
1/31/2022 10:54,Learn about the Weill gift,112197,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
3/25/2022 12:23,Learn about U-M’s Ginsberg Center,127619,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
1/31/2022 8:17,Read about the program,130451,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 13:37,Read about the Bentley gift,132597,Major Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 11:04,Read about the Bentley gift,133401,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 11:03,Learn about the Weill gift,133401,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
2/1/2022 12:39,Read about the program,133607,Major Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 9:59,Read about the program,133607,Major Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
5/12/2022 11:11,womens-basketball-harris-family,133826,Major Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 15:06,womens-basketball-harris-family,133826,Major Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
2/1/2022 10:23,Learn about the Warren bequest,133826,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
3/25/2022 9:51,Learn about U-M’s Ginsberg Center,133826,Major Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
2/1/2022 10:23,Learn about the Weill gift,133826,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
3/25/2022 14:41,Learn about the collection,135872,Major Giving,Gift Announcement,,,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,University of Michigan Museum of Art,,,
3/25/2022 14:36,Read about the Culture Corps,135872,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
3/25/2022 14:46,Read about the impact,135872,Major Giving,,Giving Blueday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2022 12:40,Learn about the Warren bequest,135902,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 8:47,womens-basketball-harris-family,135914,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 8:47,Experience the observatory,136190,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 8:47,Experience the observatory,136190,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 8:47,womens-basketball-harris-family,136190,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 8:47,womens-basketball-harris-family,136190,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
3/25/2022 8:42,Learn about the collection,136190,Annual Giving,Gift Announcement,,,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,University of Michigan Museum of Art,,,
3/25/2022 8:42,Learn about the collection,136190,Annual Giving,Gift Announcement,,,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,University of Michigan Museum of Art,,,
3/25/2022 8:42,Meet Sarah,136190,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,School of Dentistry,,,,
3/25/2022 8:42,Meet Sarah,136190,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,School of Dentistry,,,,
1/31/2022 8:39,Learn about the Warren bequest,136190,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 8:39,Learn about the Warren bequest,136190,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 8:39,Read about the program,136190,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 8:39,Read about the program,136190,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
3/25/2022 8:42,Learn about U-Mâ€™s Ginsberg Center,136190,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
3/25/2022 8:42,Learn about U-M’s Ginsberg Center,136190,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
1/31/2022 8:39,Meet Dyanna,136190,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,Student Life,,,,,,,,,,,
1/31/2022 8:39,Meet Dyanna,136190,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,Student Life,,,,,,,,,,,
1/31/2022 8:39,Read about the Bentley gift,136190,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 8:39,Read about the Bentley gift,136190,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 8:39,Learn about the Weill gift,136190,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 8:39,Learn about the Weill gift,136190,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 8:47,Meet Audrey,136190,Annual Giving,,,Student Support,,,,,,,,,,,,,,International,,,,,,,,,,,,,,,,
5/12/2022 8:47,Meet Audrey,136190,Annual Giving,,,Student Support,,,,,,,,,,,,,,International,,,,,,,,,,,,,,,,
5/12/2022 8:47,Learn more about the program,136190,Annual Giving,,,Student Support,,,,,,,,,,,,,Military and Veterans,,,,,,,,,,,,,,,,,
5/12/2022 8:47,Learn more about the program,136190,Annual Giving,,,Student Support,,,,,,,,,,,,,Military and Veterans,,,,,,,,,,,,,,,,,
3/25/2022 8:42,Learn more about CAIâ€™s global reach,136190,Annual Giving,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,,,
3/25/2022 8:42,Learn more about CAI’s global reach,136190,Annual Giving,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,,,
3/25/2022 8:42,Read about the Culture Corps,136190,Annual Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:42,Read about the Culture Corps,136190,Annual Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
5/12/2022 8:47,Meet the graduates,136190,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2022 8:47,Meet the graduates,136190,Annual Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:42,Read about the impact,136190,Annual Giving,,Giving Blueday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:42,Read about the impact,136190,Annual Giving,,Giving Blueday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:42,Watch the video,136190,Annual Giving,,Giving Blueday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:42,Watch the video,136190,Annual Giving,,Giving Blueday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2022 13:07,Learn about the Weill gift,136441,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 21:12,Experience the observatory,162577,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 13:53,Experience the observatory,166121,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 10:24,Learn about the Weill gift,184925,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 8:06,womens-basketball-harris-family,187070,Major Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 9:32,Experience the observatory,195388,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:31,Experience the observatory,195388,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:31,Experience the observatory,195388,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
3/25/2022 8:36,Learn about U-M’s Ginsberg Center,196563,Major Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
5/12/2022 11:48,Experience the observatory,208371,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 8:58,Learn about the Weill gift,221478,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 8:55,Experience the observatory,229209,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 11:18,Experience the observatory,243632,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 12:28,Learn about the Warren bequest,278245,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 9:37,Experience the observatory,279444,Major Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 9:39,grosfeld-kellogg-center-gift,279444,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,Aging,,,,,,,,,,Michigan Medicine,,,,,
5/12/2022 10:13,grosfeld-kellogg-center-gift,279444,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,Aging,,,,,,,,,,Michigan Medicine,,,,,
3/25/2022 8:23,Read about the institute,279444,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,,,,,,,,,,,Michigan Medicine,,,,,
1/31/2022 9:29,Read about the Bentley gift,279444,Major Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
3/26/2022 12:06,Read about the Culture Corps,297926,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
3/25/2022 9:19,Read about the Culture Corps,297926,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
3/25/2022 17:38,Learn about the center,309746,Major Giving,Gift Announcement,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,School of Education,,
1/31/2022 10:58,Learn about the Warren bequest,321862,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 10:34,Learn about the Warren bequest,321862,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 9:37,Learn about the Warren bequest,321862,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 13:33,womens-basketball-harris-family,335861,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
1/31/2022 8:13,Learn about the Weill gift,349321,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 8:53,Learn about the Ross School gifts,365099,Major Giving,Gift Announcement,,Student Support,,Diversity Equity and Inclusion,Poverty,Sustainability,,,,,,,,,,,,,,,,,,,Stephen M. Ross School of Business,,,,,,,
5/12/2022 8:22,womens-basketball-harris-family,365300,Major Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
3/25/2022 8:23,Learn about U-M’s Ginsberg Center,365300,Major Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
1/31/2022 8:46,Learn about the Weill gift,365300,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 9:58,Meet the graduates,365300,Major Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2022 14:45,Learn about the Weill gift,377934,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 13:21,Experience the observatory,384513,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 8:16,Learn about the Warren bequest,384665,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
2/2/2022 12:58,Read about the Bentley gift,407461,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
2/2/2022 12:56,Learn about the Weill gift,407461,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
2/2/2022 10:37,Learn about the Weill gift,407461,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 18:52,Read about the Bentley gift,408748,Major Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 18:27,Read about the Bentley gift,408748,Major Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
5/12/2022 14:06,womens-basketball-harris-family,427861,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 14:05,womens-basketball-harris-family,427861,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 14:05,womens-basketball-harris-family,427861,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 13:58,womens-basketball-harris-family,427861,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 17:33,womens-basketball-harris-family,427861,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 17:33,womens-basketball-harris-family,427861,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 17:33,womens-basketball-harris-family,427861,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
1/31/2022 9:12,Learn about the Weill gift,427861,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 10:41,Experience the observatory,432416,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
5/12/2022 10:40,womens-basketball-harris-family,432416,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
2/3/2022 14:31,Learn about the Warren bequest,432416,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
5/12/2022 8:20,womens-basketball-harris-family,461076,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 8:41,womens-basketball-harris-family,461076,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
5/12/2022 10:24,Experience the observatory,480231,Annual Giving,,,,,,,,,,,,,,,Science,,,,,,,,,,,,,,,,,,Detroit Observatory
1/31/2022 8:29,Learn about the Weill gift,489712,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 10:00,womens-basketball-harris-family,496273,Major Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
3/25/2022 13:19,Learn about the collection,499237,Annual Giving,Gift Announcement,,,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,University of Michigan Museum of Art,,,
3/25/2022 13:16,Learn about the collection,499237,Annual Giving,Gift Announcement,,,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,University of Michigan Museum of Art,,,
1/31/2022 15:33,Learn about the Warren bequest,527427,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 8:22,Learn about the Weill gift,530669,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 8:05,Read about the program,532915,Major Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
3/25/2022 17:47,Learn about the center,571635,Major Giving,Gift Announcement,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,School of Education,,
1/31/2022 10:17,Learn about the Ross School gifts,573528,Major Giving,Gift Announcement,,Student Support,,Diversity Equity and Inclusion,Poverty,Sustainability,,,,,,,,,,,,,,,,,,,Stephen M. Ross School of Business,,,,,,,
5/12/2022 20:03,Meet Audrey,575562,Annual Giving,,,Student Support,,,,,,,,,,,,,,International,,,,,,,,,,,,,,,,
5/12/2022 14:57,womens-basketball-harris-family,581641,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
1/31/2022 12:59,Learn about the Ross School gifts,590307,Major Giving,Gift Announcement,,Student Support,,Diversity Equity and Inclusion,Poverty,Sustainability,,,,,,,,,,,,,,,,,,,Stephen M. Ross School of Business,,,,,,,
3/25/2022 11:37,Learn about U-M’s Ginsberg Center,594581,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
3/25/2022 9:40,Learn about U-M’s Ginsberg Center,595056,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
5/12/2022 8:20,womens-basketball-harris-family,595184,Annual Giving,Gift Announcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Athletics,
1/31/2022 8:22,Learn about the Weill gift,595184,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 9:25,Read about the Bentley gift,610318,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
3/25/2022 9:25,Learn about U-M’s Ginsberg Center,616448,Annual Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
3/25/2022 9:24,Watch the video,616448,Annual Giving,,Giving Blueday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2022 8:10,Learn about the collection,621262,Annual Giving,Gift Announcement,,,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,University of Michigan Museum of Art,,,
3/25/2022 9:38,Learn about U-M’s Ginsberg Center,626511,Major Giving,Gift Announcement,,,,,,,,,,Public Good,Facilities,,,,,,,,,,Student Life,,,,,,,,,,,
1/31/2022 14:28,Learn about the Weill gift,626910,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 11:43,Read about the Bentley gift,633847,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
5/12/2022 11:28,Learn more about the program,633847,Annual Giving,,,Student Support,,,,,,,,,,,,,Military and Veterans,,,,,,,,,,,,,,,,,
3/25/2022 9:07,Learn about the center,657451,Major Giving,Gift Announcement,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,,,School of Education,,
3/25/2022 9:08,Read about the Culture Corps,657451,Major Giving,,,Student Support,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,,,,
1/31/2022 13:58,Read about the program,679410,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 13:52,Read about the program,679410,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 10:22,Learn about the Weill gift,684697,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
5/12/2022 14:40,Learn more about the program,688401,Major Giving,,,Student Support,,,,,,,,,,,,,Military and Veterans,,,,,,,,,,,,,,,,,
3/25/2022 9:32,Learn about the collection,689351,Annual Giving,Gift Announcement,,,,,,,,,,,,Arts,,,,,,,,,,,,,,,,,University of Michigan Museum of Art,,,
1/31/2022 8:24,Learn about the Stone Center,693911,Major Giving,Gift Announcement,,,,,Poverty,,,,,,,,,,,,,,,,,,,Institute for Social Research,,,,,,,,
1/31/2022 8:25,Learn about the Warren bequest,693911,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 8:29,Read about the Bentley gift,693911,Major Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 11:55,Learn about the Warren bequest,695816,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,,,,,,Student Publications,,,,,,,,,
1/31/2022 11:52,Read about the Bentley gift,695816,Annual Giving,Gift Announcement,,,History,,,,,,,,,,,,,,,,,Bentley Historical Library,,,,,,,,,,,,
1/31/2022 9:35,Read about the program,696274,Annual Giving,,,Student Support,,,,,,,,,,,,,,,,,,,,"College of Literature, Science, and the Arts",,,,,,,,,,
1/31/2022 8:12,Learn about the Stone Center,696353,Major Giving,Gift Announcement,,,,,Poverty,,,,,,,,,,,,,,,,,,,Institute for Social Research,,,,,,,,
1/31/2022 8:13,Meet Dyanna,696353,Major Giving,,,Student Support,,Diversity Equity and Inclusion,,,,,,,,,,,,,,,,,Student Life,,,,,,,,,,,
1/31/2022 8:16,Learn about the Weill gift,696353,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 12:54,Learn about the Weill gift,697801,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 9:32,Learn about the Weill gift,697874,Annual Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
3/25/2022 10:56,Read about the institute,702523,Major Giving,Gift Announcement,,,,,,,,,Heath and Wellness,,,,,,,,,,,,,,,,,,Michigan Medicine,,,,,
1/31/2022 9:41,Learn about the Weill gift,704623,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 17:27,Learn about the Weill gift,718750,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 17:26,Learn about the Weill gift,718750,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
1/31/2022 17:26,Learn about the Weill gift,718750,Major Giving,Gift Announcement,,Student Support,,,,,,,,,,,,,,,,Gerald R. Ford School of Public Policy,Rackham Graduate School,,,,,,,,,,,,,
